DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,PRICE_CHANGE,PRICE_CHANGE_PCT,CREATED_AT
2025-08-19,AAPL,231.275,232.87,229.35,230.56,39402564,,,2026-01-11 11:52:30.837
2025-08-19,AAPL,231.275,232.87,229.35,230.56,39402564,,,2026-01-11 11:54:14.669
2025-08-20,AAPL,229.98,230.47,225.77,226.01,42263865,-4.55,-1.97,2026-01-11 11:52:30.837
2025-08-20,AAPL,229.98,230.47,225.77,226.01,42263865,-4.55,-1.97,2026-01-11 11:54:14.669
2025-08-21,AAPL,226.27,226.52,223.7804,224.9,30621249,-1.11,-0.49,2026-01-11 11:54:14.669
2025-08-21,AAPL,226.27,226.52,223.7804,224.9,30621249,-1.11,-0.49,2026-01-11 11:52:30.837
2025-08-22,AAPL,226.17,229.09,225.41,227.76,42477811,2.86,1.27,2026-01-11 11:54:14.669
2025-08-22,AAPL,226.17,229.09,225.41,227.76,42477811,2.86,1.27,2026-01-11 11:52:30.837
2025-08-25,AAPL,226.48,229.3,226.23,227.16,30983133,-0.6,-0.26,2026-01-11 11:52:30.837
2025-08-25,AAPL,226.48,229.3,226.23,227.16,30983133,-0.6,-0.26,2026-01-11 11:54:14.669
2025-08-26,AAPL,226.87,229.49,224.69,229.31,54575107,2.15,0.95,2026-01-11 11:52:30.837
2025-08-26,AAPL,226.87,229.49,224.69,229.31,54575107,2.15,0.95,2026-01-11 11:54:14.669
2025-08-27,AAPL,228.61,230.9,228.26,230.49,31259513,1.18,0.51,2026-01-11 11:54:14.669
2025-08-27,AAPL,228.61,230.9,228.26,230.49,31259513,1.18,0.51,2026-01-11 11:52:30.837
2025-08-28,AAPL,230.82,233.41,229.335,232.56,38074700,2.07,0.9,2026-01-11 11:54:14.669
2025-08-28,AAPL,230.82,233.41,229.335,232.56,38074700,2.07,0.9,2026-01-11 11:52:30.837
2025-08-29,AAPL,232.51,233.38,231.37,232.14,39418437,-0.42,-0.18,2026-01-11 11:54:14.669
2025-08-29,AAPL,232.51,233.38,231.37,232.14,39418437,-0.42,-0.18,2026-01-11 11:52:30.837
2025-09-02,AAPL,229.25,230.85,226.97,229.72,44075638,-2.42,-1.04,2026-01-11 11:54:14.669
2025-09-02,AAPL,229.25,230.85,226.97,229.72,44075638,-2.42,-1.04,2026-01-11 11:52:30.837
2025-09-03,AAPL,237.21,238.85,234.36,238.47,66061716,8.75,3.81,2026-01-11 11:54:14.669
2025-09-03,AAPL,237.21,238.85,234.36,238.47,66061716,8.75,3.81,2026-01-11 11:52:30.837
2025-09-04,AAPL,238.45,239.8999,236.74,239.78,47549429,1.31,0.55,2026-01-11 11:54:14.669
2025-09-04,AAPL,238.45,239.8999,236.74,239.78,47549429,1.31,0.55,2026-01-11 11:52:30.837
2025-09-05,AAPL,239.995,241.32,238.4901,239.69,54870397,-0.09,-0.04,2026-01-11 11:52:30.837
2025-09-05,AAPL,239.995,241.32,238.4901,239.69,54870397,-0.09,-0.04,2026-01-11 11:54:14.669
2025-09-08,AAPL,239.3,240.15,236.34,237.88,48999495,-1.81,-0.76,2026-01-11 11:52:30.837
2025-09-08,AAPL,239.3,240.15,236.34,237.88,48999495,-1.81,-0.76,2026-01-11 11:54:14.669
2025-09-09,AAPL,237,238.7805,233.36,234.35,66313918,-3.53,-1.48,2026-01-11 11:54:14.669
2025-09-09,AAPL,237,238.7805,233.36,234.35,66313918,-3.53,-1.48,2026-01-11 11:52:30.837
2025-09-10,AAPL,232.185,232.42,225.95,226.79,83440810,-7.56,-3.23,2026-01-11 11:54:14.669
2025-09-10,AAPL,232.185,232.42,225.95,226.79,83440810,-7.56,-3.23,2026-01-11 11:52:30.837
2025-09-11,AAPL,226.875,230.45,226.65,230.03,50208578,3.24,1.43,2026-01-11 11:52:30.837
2025-09-11,AAPL,226.875,230.45,226.65,230.03,50208578,3.24,1.43,2026-01-11 11:54:14.669
